Konduga nigeria,11.65492,13.41966
Dindima nigeria,10.23766,10.14722
Ikang nigeria,4.79224,8.52953
Yelwa nigeria,10.83702,4.74328
Langtang nigeria,9.14824,9.79855
Kazaure nigeria,12.65329,8.41208
Wurno nigeria,13.28387,5.42014
Kujama nigeria,10.46068,7.63311
Okeho nigeria,8.03566,3.35149
Madagali nigeria,10.89093,13.62759
Obubra nigeria,6.08569,8.32801
Ahoada nigeria,5.08282,6.65847
Boju nigeria,7.38281,7.90735
Agenebode nigeria,7.1066,6.68787
Ajasse Ipo nigeria,8.24587,4.81189
Runka nigeria,12.45257,7.30711
Lau nigeria,9.20293,11.29229
Kafin Hausa nigeria,12.18979,9.92416
Bakori nigeria,11.5577,7.42462
Dutsin-Ma nigeria,12.45448,7.49765
Abak nigeria,5.00329,7.77427
Dakingari nigeria,11.6498,4.06444
Bokkos nigeria,9.16815,8.92453
Zango nigeria,12.8964,8.52816
Dange nigeria,12.85525,5.32071
Kaltungo nigeria,9.84227,11.3885
Amper nigeria,9.35481,9.70237
Miringa nigeria,10.71876,12.1404
Zalanga nigeria,10.61663,10.17663
Vom nigeria,9.7376,8.80872
Toungo nigeria,8.11766,12.04413
Agaie nigeria,9.00851,6.31729
Machina nigeria,13.1124,10.12552
Mutum Biyu nigeria,8.64504,10.7718
Kangiwa nigeria,12.53784,3.77399
Bori nigeria,4.6735,7.36786
Burumburum nigeria,8.63333,8.68333
Goniri nigeria,11.48403,12.30631
Bara nigeria,10.37444,10.72951
Uba nigeria,7.5144,4.52324
Anka nigeria,11.91707,5.98326
Omoku nigeria,5.34191,6.65579
Kafarati nigeria,10.38402,11.09664
Gagarawa nigeria,12.4083,9.52911
Gujba nigeria,11.49981,11.93365
Opi nigeria,6.77027,7.43002
Mallammaduri nigeria,12.55098,10.02758
Dekina nigeria,7.59479,7.22214
Bebeji nigeria,11.66478,8.26232
Arochukwu nigeria,5.39489,7.90482
Takai nigeria,11.57162,9.10965
Panyam nigeria,9.40914,9.21067
Koton-Karfe nigeria,8.10457,6.79759
Katagum nigeria,12.28974,10.3526
Zaki Biam nigeria,7.50057,9.6063
Goronyo nigeria,13.43791,5.67867
Etinan nigeria,4.84272,7.85584
Aliade nigeria,7.29617,8.4815
Wawa nigeria,9.90378,4.40535
Gabarin nigeria,11.14543,10.45933
Gwandu nigeria,12.49857,4.64245
Madara nigeria,11.77753,10.44949
Maiyama nigeria,11.8103,4.35651
Wagini nigeria,12.69723,7.16825
Buga nigeria,8.49593,7.3476
Benisheikh nigeria,11.80415,12.51833
Ete nigeria,7.06161,7.44973
7.99 7.58,7.99829,7.58241
Danja nigeria,11.37937,7.55993
Kankara nigeria,11.93132,7.4138
Amagunze nigeria,6.3248,7.64939
Alapa nigeria,8.63102,4.38093
5.3 6.05,5.27338,6.08476
Kura nigeria,11.77014,8.42391
Tsafe nigeria,11.95528,6.91823
Orlu nigeria,5.78123,7.03909
Birniwa nigeria,12.80145,10.22637
Shinkafi nigeria,13.07205,6.50631
Ejirin nigeria,6.61391,3.89353
Holma nigeria,9.90047,13.05442
Wuyo nigeria,10.37418,11.69541
Ifaki nigeria,7.78005,5.24233
Ogurugu nigeria,6.78669,6.9491
Kwatarkwashi nigeria,12.13372,6.82553
Mahuta nigeria,11.58504,4.94548
Dambatta nigeria,12.43822,8.61607
Baissa nigeria,7.22954,10.6281
Musawa nigeria,12.12991,7.67245
Mberubu nigeria,6.33245,7.60564
Ruma nigeria,12.86667,7.23333
Igabi nigeria,10.79874,7.52472
Rabah nigeria,13.12255,5.50531
Imeko nigeria,7.44774,2.83796
Bokani nigeria,9.39633,5.16406
Agbabu nigeria,6.5798,4.82938
Auna nigeria,10.18679,4.72258
Ochobo nigeria,7.18098,7.97972
Orodo nigeria,5.61659,7.0364
Owode nigeria,6.94826,3.50793
Kibiya nigeria,11.52919,8.65731
Hunkuyi nigeria,11.26163,7.64939
Bomadi nigeria,5.16256,5.92512
Umunede nigeria,6.25823,6.30666
Badeggi nigeria,9.05683,6.14342
Isara nigeria,6.98719,3.67754
Adoru nigeria,6.97936,7.16286
Kwolla nigeria,8.94949,9.24807
Wasagu nigeria,11.3799,5.6458
Ngurore nigeria,9.28942,12.24167
Samamiya nigeria,11.34607,9.65919
Duku nigeria,11.2,4.88333
Suya nigeria,6.45255,3.43565
Siluko nigeria,6.53463,5.16015
Mashi nigeria,13.09589,8.00289
Hinna nigeria,10.30067,11.50208
Iho nigeria,5.56751,7.10499
Yandev nigeria,7.36017,9.03776
Konkwesso nigeria,10.84766,4.09638
Ilare nigeria,7.79068,4.80023
Ifon nigeria,6.92349,5.77739
Dan Sadau nigeria,11.29754,6.49565
Kuta nigeria,7.64975,4.30002
Mando nigeria,10.75588,6.60704
